0	43669
1	44417
2	47617
3	53294
4	61294
5	68464
6	75426
7	86790
8	98396
9	98619
10	103365
11	111235
12	116648
13	130658
14	130932
15	140792
16	147393
17	157692
18	161507
19	165909
20	174885
21	181014
22	202058
23	235336
24	192529
25	202517
26	207502
27	212886
28	223536
29	229868
30	236736
31	243094
32	253703
33	259884
34	270052
35	272023
36	282297
37	289659
38	301138
39	305133
40	310824
41	327783
42	332213
43	351649
44	338428
45	351749
46	369411
47	380924
48	393107
49	408339
50	417345
51	414876
52	429548
53	455994
54	440040
55	474822
56	448123
57	460030
58	470340
59	486898
60	500641
61	520899
62	509768
63	520256
64	532625
65	545570
66	558868
67	548363
68	565756
69	578576
70	605701
71	593380
72	598185
73	610739
74	622678
75	634166
76	655514
77	660944
78	670751
79	686791
80	698022
81	714868
82	722591
83	739701
84	752687
85	771667
86	773614
87	784445
88	789472
89	784233
90	786113
91	823261
92	832926
93	849113
94	858881
95	873047
96	885887
97	892754
98	916050
99	938309
100	922729
101	942065
102	952535
103	960621
104	962392
105	983569
106	1000726
107	1001020
108	1006043
109	1035409
110	1035566
111	1051490
112	1060669
113	1082368
114	1101930
115	1108077
116	1121659
117	1213001
118	1281591
119	1274989
120	1244550
121	1235383
122	1241960
123	1226683
124	1243755
125	1235335
126	1255418
127	1276361
128	1297147
129	1329347
130	1362165
131	1375104
132	1380612
133	1379531
134	1405157
135	1450796
136	1470202
137	1470601
138	1472633
139	1549200
140	1523131
141	1563337
142	1532768
143	1570261
144	1591740
145	1613085
146	1660057
147	1634773
148	1624008
149	1699584
150	1689860
151	1752777
152	1718210
153	1741317
154	1742980
155	1810838
156	1844248
157	1896307
158	1816963
159	1854164
160	1871863
161	1961363
162	1946331
163	1904231
164	1978324
165	2126527
166	2166594
167	2190074
168	2230331
169	2342374
170	2119904
171	2279759
172	2209980
173	2199052
174	2265461
175	2597547
176	2740919
177	2765840
178	2803509
179	2623604
180	2695187
181	2748398
182	2651777
183	2720075
184	2635731
185	2641659
186	2682195
187	2685876
188	2772901
189	2783793
190	2788029
191	2812927
192	2796176
193	2836097
194	2916302
195	2884058
196	2898875
197	2919352
198	2961400
199	3011462
200	2976725
201	3082573
202	3287733
203	3402987
204	3492754
205	3737453
206	3516131
207	3619721
208	4304684
209	4249235
210	4130424
211	4328412
212	4205146
213	4201659
214	4201067
215	4127380
216	4051712
217	3952547
218	3977252
219	4086528
220	4096776
221	4132479
222	4130544
223	4185080
224	4199810
225	4204342
226	4336405
227	4482872
228	4493171
229	4422469
230	4508555
231	4985109
232	4953067
233	4816325
234	4805578
235	4751055
236	4848996
237	4779850
238	4775295
239	4756165
240	4816554
241	4808933
242	4863511
243	4876620
244	4915283
245	4957541
246	4960224
247	5217921
248	5232557
249	5190401
250	5269595
251	5732488
252	5607882
253	5531536
254	5494190
255	5411084
256	5551912
257	5441075
258	5481268
259	5482570
260	5502788
261	5517619
262	5580468
263	5627134
264	5606896
265	5911519
266	5904979
267	5813076
268	6385575
269	6498929
270	6381260
271	6304982
272	6248317
273	6274781
274	6276978
275	6304034
276	6281810
277	6359836
278	6458670
279	6327056
280	6299102
281	6800920
282	6718079
283	6872490
284	7152730
285	7017632
286	6890589
287	6823842
288	6946243
289	6973789
290	6892466
291	6909603
292	6904833
293	7048305
294	6969113
295	7313110
296	7332406
297	7387443
298	7723633
299	7668137
300	7609485
301	7630139
302	7404514
303	7426484
304	7664025
305	7629502
306	7721307
307	7495680
308	7829866
309	7872459
310	8181128
311	8271544
312	8021200
313	7827149
314	7801719
315	7844645
316	7882014
317	7868610
318	7852329
319	7942977
320	8041054
321	8129274
322	8154460
323	8533267
324	8424391
325	8405201
326	8209696
327	8430813
328	8333613
329	8255025
330	8349797
331	8309787
332	8444396
333	8520426
334	8694951
335	9025000
336	8879959
337	8985909
338	8890746
339	8865584
340	8898031
341	8660552
342	8790267
343	8870980
344	9156451
345	9251186
346	9726919
347	9220699
348	9053603
349	9213492
350	9068294
351	9131576
352	9261624
353	9208554
354	9325008
355	9575866
356	10058008
357	10276696
358	10167659
359	10266755
360	10182987
361	10146177
362	10050777
363	9944594
364	9955697
365	10184431
366	10704888
367	10220062
368	10062955
369	10000930
370	9791347
371	9737854
372	9770805
373	9788175
374	10107853
375	10116122
376	10540706
377	10557545
378	10391241
379	10280040
380	10082477
381	10140083
382	10304696
383	10314640
384	10437272
385	11005232
386	10997701
387	10804188
388	10675023
389	10678105
390	10720927
391	10646106
392	10459590
393	11006419
394	11102061
395	11509495
396	11404848
397	11069705
398	11040750
399	11094359
400	11030151
401	10953505
402	11368830
403	11709242
404	11993339
405	11829491
406	11652608
407	11602420
408	11376745
409	11440523
410	11530948
411	11761809
412	12328495
413	11901855
414	11731590
415	11765840
416	11787886
417	11732754
418	11525190
419	12167847
420	12639993
421	12640896
422	12574037
423	12298152
424	12208868
425	11849203
426	11756038
427	12011110
428	12559854
429	12591114
430	12330676
431	12324916
432	12309275
433	12293683
434	12358311
435	12625816
436	13078723
437	13135236
438	13002566
439	12606280
440	12637247
441	12589218
442	12421814
443	12681531
444	13438267
445	13432823
446	13243183
447	13089110
448	12975852
449	12995251
450	13167756
451	13455011
452	13478943
453	13176318
454	12873673
455	12887066
456	12854138
457	12946632
458	13221566
459	13666599
460	13527752
461	13183248
462	13943409
463	13804164
464	13622895
465	13758078
466	14227218
467	14244971
468	13945209
469	13775236
470	13791760
471	13489352
472	13809180
473	14762694
474	14915892
475	14618033
476	14651538
477	14101355
478	13728860
479	14152904
480	14701447
481	14880486
482	14788320
483	14549160
